iter	Passed	Remaining
694	74131	32532
695	74246	32429
696	74346	32319
697	74440	32207
698	74527	32092
699	74619	31979
700	74707	31865
701	74801	31753
702	74913	31649
703	75047	31554
704	75154	31447
705	75252	31337
706	75345	31225
707	75436	31112
708	75533	31001
709	75635	30893
710	75734	30783
711	75842	30677
712	75940	30567
713	76031	30455
714	76124	30343
715	76238	30239
716	76331	30128
717	76422	30015
718	76521	29906
719	76646	29807
720	76745	29697
721	76845	29588
722	76935	29476
723	77050	29372
724	77166	29269
725	77277	29165
726	77375	29055
727	77468	28944
728	77947	28976
729	78189	28919
730	78469	28875
731	78698	28813
732	78798	28702
733	78897	28592
734	78999	28482
735	79092	28370
736	79188	28258
737	79269	28141
738	79352	28025
739	79509	27935
740	79660	27843
741	79772	27737
742	79913	27641
743	80083	27555
744	80226	27459
745	80391	27371
746	80523	27272
747	80630	27164
748	80727	27053
749	80826	26942
750	80917	26828
751	81003	26713
752	81106	26604
753	81213	26496
754	81319	26388
755	81414	26276
756	81507	26164
757	81615	26056
758	81701	25941
759	81782	25825
760	81878	25714
761	81972	25602
762	82066	25491
763	82157	25378
764	82251	25266
765	82350	25156
766	82447	25045
767	82536	24932
768	82633	24822
769	82732	24712
770	82828	24601
771	82914	24487
772	83001	24374
773	83097	24263
774	83219	24160
775	83330	24054
776	83577	23986
777	83684	23879
778	83835	23783
779	84043	23704
780	84177	23604
781	84380	23523
782	84570	23437
783	84668	23326
784	84763	23215
785	84869	23106
786	85071	23024
787	85169	22913
788	85260	22800
789	85354	22689
790	85564	22608
791	85692	22505
792	85797	22396
793	85923	22292
794	86165	22218
795	86350	22130
796	86561	22047
797	86724	21952
798	86935	21869
799	87032	21758
800	87138	21648
801	87228	21535
802	87321	21422
803	87413	21309
804	87555	21209
805	87754	21122
806	87865	21013
807	87979	20906
808	88079	20794
809	88183	20684
810	88282	20573
811	88390	20464
812	88493	20354
813	88585	20241
814	88686	20131
815	88817	20027
816	88915	19916
817	89012	19804
818	89133	19698
819	89267	19595
820	89450	19502
821	89685	19420
822	89798	19312
823	89935	19209
824	90067	19105
825	90187	18998
826	90370	18904
827	90527	18805
828	90626	18693
829	90716	18580
830	90819	18469
831	91010	18377
832	91191	18282
833	91321	18176
834	91424	18065
835	91517	17953
836	91710	17860
837	91898	17765
838	91993	17653
839	92082	17539
840	92172	17426
841	92256	17311
842	92377	17204
843	92492	17095
844	92642	16993
845	92753	16884
846	92859	16773
847	92958	16662
848	93064	16552
849	93235	16453
850	93450	16362
851	93547	16249
852	93666	16141
853	93761	16029
854	93857	15917
855	93966	15807
856	94067	15696
857	94179	15586
858	94285	15476
859	94455	15376
860	94576	15268
861	94679	15157
862	94780	15046
863	94880	14934
864	94985	14824
865	95097	14714
866	95222	14607
867	95324	14496
868	95419	14384
869	95529	14274
870	95638	14164
871	95739	14053
872	95842	13942
873	95952	13832
874	96073	13724
875	96186	13615
876	96286	13504
877	96377	13391
878	96473	13280
879	96658	13180
880	96822	13078
881	96976	12974
882	97069	12861
883	97173	12751
884	97277	12640
885	97379	12529
886	97471	12417
887	97563	12305
888	97659	12193
889	97761	12082
890	97866	11972
891	97974	11862
892	98163	11762
893	98345	11660
894	98435	11548
895	98530	11436
896	98638	11326
897	98747	11216
898	98849	11105
899	98941	10993
900	99069	10885
901	99161	10773
902	99251	10661
903	99349	10550
904	99456	10440
905	99549	10328
906	99643	10217
907	99744	10106
908	99961	10007
909	100062	9896
910	100166	9785
911	100265	9674
912	100369	9564
913	100476	9454
914	100585	9344
915	100737	9237
916	100846	9127
917	100965	9018
918	101074	8908
919	101170	8797
920	101266	8686
921	101362	8575
922	101479	8465
923	101575	8354
924	101671	8243
925	101768	8132
926	101934	8027
927	102175	7927
928	102300	7818
929	102393	7707
930	102490	7595
931	102584	7484
932	102715	7376
933	102828	7266
934	102927	7155
935	103037	7045
936	103143	6934
937	103248	6824
938	103341	6713
939	103443	6602
940	103618	6496
941	103810	6391
942	103897	6280
943	104013	6170
944	104110	6059
945	104196	5947
946	104299	5837
947	104408	5727
948	104502	5616
949	104592	5504
950	104681	5393
951	104776	5282
952	104887	5172
953	105080	5066
954	105177	4955
955	105274	4845
956	105368	4734
957	105460	4623
958	105571	4513
959	105764	4406
960	105872	4296
961	105976	4186
962	106074	4075
963	106174	3965
964	106290	3855
965	106393	3744
966	106516	3635
967	106617	3524
968	106723	3414
969	106840	3304
970	106953	3194
971	107071	3084
972	107186	2974
973	107289	2863
974	107389	2753
975	107513	2643
976	107614	2533
977	107692	2422
978	107818	2312
979	107914	2202
980	108013	2092
981	108107	1981
982	108215	1871
983	108307	1761
984	108405	1650
985	108588	1541
986	108802	1433
987	108910	1322
988	108998	1212
989	109125	1102
990	109217	991
991	109332	881
992	109451	771
993	109576	661
994	109679	551
995	109767	440
996	109849	330
997	109941	220
998	110134	110
999	110310	0
